pid,lat,lon
60068|3789834215|0488247298,41.99467850,-87.82847595
60068|3802831345|3202229945,42.02032852,-87.84558105
60068|3814322452|0261400647,42.00685883,-87.85376740
60068|3814713938|1743401230,41.98815536,-87.83521271
60068|3823315587|0154941191,42.00573730,-87.83117676
60068|3854870462|2506225141,42.01085281,-87.84235382
60068|3861511653|0122225050,41.99633408,-87.82622528
60068|3862182249|3687822929,42.00192261,-87.84320068
60068|3919114987|3012285227,42.00736618,-87.85768127
60068|3938927014|1548595066,41.99690247,-87.84808350
60068|3941460870|1917270060,41.98701859,-87.84042358
60068|3951936315|1739790325,41.99463654,-87.82820892
60068|3960719500|2103872791,41.99694061,-87.83192444
60068|3963410425|0797100197,42.03584671,-87.85372925
60068|3964901080|1243768480,42.01973724,-87.84728241
60068|3966117923|3164506519,41.99752426,-87.82260895
60068|4010976150|0120040552,42.01948547,-87.81632996
60068|4019217264|3491590389,41.99700165,-87.85282898
60068|4035295700|3084316697,42.00240326,-87.84442139
60068|4040458279|2888328923,41.99383545,-87.82714081
60068|4055170354|0036050400,42.00352478,-87.83753204
60068|4074291495|2490952739,41.99756241,-87.83122253
60068|4075194191|1963491210,41.99608231,-87.83512878
60068|4078123605|1148856783,42.01127625,-87.83183289
60068|4094685158|0882822758,41.99654388,-87.83646393
60068|4095561630|1937182282,42.00785446,-87.85113525
60068|4105284247|3095451070,41.98730087,-87.83522797
60068|4122479279|1256093536,42.00727081,-87.85757446
60068|4148362707|2797269468,42.01291656,-87.83827972
60068|4151113583|1713582265,42.02537537,-87.84191132
60068|4155680789|1858022929,42.00587082,-87.85742188
60068|4170457703|0370710706,42.00572968,-87.82537842
